Time,Transaction_Amount_Ratio,Transaction_Frequency,Merchant_Risk_Score,Customer_Risk_Score,Account_Age_Months,Device_Trust_Score,Location_Risk_Score,Transaction_Velocity,Cardholder_Behavior_Score,Fraud_Risk_Index,Amount,Class
138242,-4.28,4.466,3.507,-3.933,-3.126,-1.142,0.894,-3.402,1.188,-4.603,897.38,0
133725,-3.542,2.623,-0.102,3.883,-4.359,3.3,4.044,3.215,3.555,-2.445,1871.49,0
43798,-2.914,4.797,-1.45,0.252,1.718,4.812,0.175,3.639,-4.459,2.002,1281.38,0
122976,-2.646,-0.636,0.917,-2.126,1.309,-4.204,-2.319,-2.519,-3.083,4.216,2322.21,0
152224,-0.541,1.73,-2.082,1.822,1.519,-4.392,-4.246,3.285,2.744,4.563,3737.36,0
150510,-2.494,1.106,3.275,0.278,1.033,3.303,3.953,-2.372,-3.741,-3.537,1097.06,1
160309,,-3.86,2.842,3.075,-3.888,-3.377,4.655,-4.413,2.588,-3.208,1885.76,0
84025,3.406,0.205,4.239,1.943,3.366,2.131,2.803,3.529,2.02,2.79,4893.75,0
94987,-1.038,-1.116,-3.181,-3.467,2.989,2.985,2.04,4.053,4.985,-4.538,167.54,0
157866,3.959,3.938,0.867,-3.989,0.599,-1.047,0.363,1.238,4.816,3.747,1596.16,0
169295,-1.988,-4.548,3.826,3.457,4.429,-0.743,-3.956,-2.964,-0.073,-0.878,2535.83,0
40897,-0.265,-3.878,-4.126,-1.267,-3.646,-1.759,-1.658,-3.557,2.2,4.84,2244.26,0
31189,,-1.916,-3.607,4.75,3.381,-0.416,-3.851,2.913,-4.974,-1.133,1390.6,0
4523,3.911,2.957,-0.15,-0.325,2.711,3.548,2.063,-3.432,3.263,-2.137,4163.57,0
110980,2.155,-0.89,-1.054,4,-0.352,-4.648,-2.025,4.798,3.982,3.398,1661.65,0
53345,-2.273,4.341,0.635,-2.234,-4.75,-0.667,4.679,-4.388,1.425,-4.993,4114.59,0
139825,-2.935,1.139,3.666,4.145,2.293,1.431,-4.631,3.171,0.43,2.13,2967.48,0
143851,-0.731,-4.269,1.333,4.522,-1.303,-1.925,-3.585,4.82,-0.652,4.13,1652.22,0
3355,-2.316,4.353,4.251,-4.429,-3.685,1.921,-1.067,-3.706,1.607,-2.937,3857.17,0
155243,2.429,0.86,1.985,-3.916,-3.344,-3.397,-0.304,-2.31,2.163,0.058,4912.42,0
91738,-4.103,-3.473,-2.557,0.149,4.697,-1.989,-3.655,2.587,0.933,-1.7,4298.66,0
168187,-1.936,2.761,4.147,2.321,3.399,1.854,2.568,1.181,1.527,2.749,3190.28,0
40437,1.877,0.351,3.801,2.271,-2.634,-2.51,4.359,-2.28,-1.454,1.065,484.21,0
132329,-2.859,-4.497,-4.207,-4.735,-1.269,-4.517,0.303,2.589,-1.761,-1.973,4552.51,0
151773,-4.642,-4.616,0.001,-4.541,-4.828,4.654,1.651,-1.994,-1.18,0.007,?,0
155170,4.277,-1.702,0.708,2.139,-1.336,-0.895,2.24,-0.833,0.666,-2.892,85.19,0
18283,-2.054,2.342,-2.884,3.876,3.303,-0.973,4.702,1.632,2.787,-2.16,2102.18,0
15596,-4.431,-1.598,-1.081,4.63,-0.67,-4.984,2.524,-4.542,-3.753,2.585,569.08,0
29508,0.728,-2.227,-4.251,-4.367,0.396,1.762,-3.761,4.507,-3.804,-3.669,147.38,0
134133,-0.37,-2.895,1.465,-2.687,-2.062,3.963,0.507,-1.979,4.53,-1.8,2264.33,0
124069,,-0.629,0.909,3.756,1.805,-2.552,3.244,0.532,2.363,4.429,3971.5,0
79020,-0.301,-4.205,3.302,3.527,-3.674,2.777,-3.592,-4.205,-2.448,4.155,3645.25,0
109890,-2.504,0.536,-2.301,3.25,1.786,-1.44,4.305,0.371,-1.036,4.247,2427.85,0
159970,3.344,-1.74,-0.92,1.029,-1.272,-0.624,0.574,-0.431,-4.008,-3.944,?,0
41755,1.613,2.793,-0.472,-2.964,-1.193,2.614,-2.428,1.008,-4.566,-4.351,3539.32,0
